date,description,amount,type
2025-11-22,Rent payment,12000.0,debit
2025-11-22,Rent payment,12000.0,debit
2025-11-22,Rent payment,12000.0,debit
2023-10-05,Rent payment debited from your account,12000.0,debit
2025-11-22,Debit Card for Rent,25000.0,debit
2023-04-02,Supermarket purchase,120.0,debit
2025-11-22,Gas station purchase,50.0,debit
2025-11-22,Rent payment,1200.0,debit
2025-11-22,DMart purchase,2500.0,debit
2025-11-22,Rent payment,12000.0,debit
2025-11-22,DMart purchase,2500.0,debit
2025-11-22,Rent payment,12000.0,debit
